# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCache.pageLoads,1782714482261000000,1782714512365000000,196
FileChannelInterruptsRetryer.totalRetriedAttempts,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.disposed,1782714482261000000,1782714512365000000,153
StorageLockContext.competingThreads.90P,1782714482261000000,1782714512365000000,17
StorageLockContext.competingThreads.max,1782714482261000000,1782714512365000000,23
FilePageCacheLockFree.totalBytesRead,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1782714482261000000,1782714512365000000,0
MappedFileStorage.totalBytesMapped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesWritten,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782714482261000000,1782714512365000000,41943040
FilePageCache.capacityInBytes,1782714482261000000,1782714512365000000,503316478
FilePageCacheLockFree.housekeeperTimeSpentMs,1782714482261000000,1782714512365000000,0
FilePageCache.pageFastCacheHits,1782714482261000000,1782714512365000000,13605
MappedFileStorage.totalPagesMapped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesRequested,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesReadMs,1782714482261000000,1782714512365000000,0
FlushQueue.executionTime90PNs,1782714482261000000,1782714512365000000,237567
FlushQueue.waitingTime90PNs,1782714482261000000,1782714512365000000,14092861439
NonBlockingReadAction.failedExecutionTimeUs,1782714482261000000,1782714512365000000,0
AWTEventQueue.dispatchTimeMaxNs,1782714482261000000,1782714512365000000,25501368319
FlushQueue.waitingTimeAvgNs,1782714482261000000,1782714512365000000,4.917961750151425E9
NonBlockingReadAction.finalizedExecutionTimeUs,1782714482261000000,1782714512365000000,357090
ReadAction.executionsCount,1782714482261000000,1782714512365000000,50083
FlushQueue.executionTimeMaxNs,1782714482261000000,1782714512365000000,84934655
AWTEventQueue.eventsDispatched,1782714482261000000,1782714512365000000,1693
WriteAction.executionsCount,1782714482261000000,1782714512365000000,1
FlushQueue.queueSizeAvg,1782714482261000000,1782714512365000000,191.75319567354967
FlushQueue.waitingTimeMaxNs,1782714482261000000,1782714512365000000,21474836479
FlushQueue.queueSize90P,1782714482261000000,1782714512365000000,469
AWTEventQueue.dispatchTimeTotalNS,1782714482261000000,1782714512365000000,25948131100
AWTEventQueue.dispatchTimeAvgNs,1782714482261000000,1782714512365000000,1.528843702776137E7
AWTEventQueue.dispatchTime90PNs,1782714482261000000,1782714512365000000,81407
FlushQueue.queueSizeMax,1782714482261000000,1782714512365000000,535
FlushQueue.tasksExecuted,1782714482261000000,1782714512365000000,1017
FlushQueue.executionTimeAvgNs,1782714482261000000,1782714512365000000,279954.0294985251
NonBlockingReadAction.failedExecutionsCount,1782714482261000000,1782714512365000000,0
NonBlockingReadAction.finalizedExecutionsCount,1782714482261000000,1782714512365000000,15
